Date,Price
2022-08-29,32.43
2022-08-30,31.47
2022-08-31,31.49
2022-09-01,31.6
2022-09-02,31.24
2022-09-03,31.11
2022-09-04,32.16
2022-09-05,32.17
2022-09-06,30.89
2022-09-07,32.7
2022-09-08,33.61
2022-09-09,34.69
2022-09-10,35.06
2022-09-11,35.01
2022-09-12,37.46
2022-09-13,32.99
2022-09-14,34.12
2022-09-15,33.07
2022-09-16,32.24
2022-09-17,33.69
2022-09-18,31.1
2022-09-19,32.63
2022-09-20,31.42
2022-09-21,30.69
2022-09-22,32.42
2022-09-23,33.66
2022-09-24,33.39
2022-09-25,32.33
2022-09-26,33.88
2022-09-27,32.68
2022-09-28,33.23
2022-09-29,33.93
2022-09-30,33.25
2022-10-01,32.44
2022-10-02,32.06
2022-10-03,32.9
2022-10-04,34.11
2022-10-05,34.05
2022-10-06,33.36
2022-10-07,32.99
2022-10-08,32.59
2022-10-09,32.93
2022-10-10,31.95
2022-10-11,30.79
2022-10-12,31.16
2022-10-13,30.51
2022-10-14,30.0
2022-10-15,29.59
2022-10-16,30.16
2022-10-17,31.21
2022-10-18,30.14
2022-10-19,28.85
2022-10-20,28.01
2022-10-21,28.1
2022-10-22,28.01
2022-10-23,29.28
2022-10-24,28.3
2022-10-25,30.88
2022-10-26,31.29
2022-10-27,30.58
2022-10-28,32.07
2022-10-29,32.88
2022-10-30,32.94
2022-10-31,32.56
2022-11-01,32.2
2022-11-02,30.81
2022-11-03,30.85
2022-11-04,33.74
2022-11-05,36.89
2022-11-06,32.62
2022-11-07,29.62
2022-11-08,24.02
2022-11-09,14.17
2022-11-10,17.6
2022-11-11,16.35
2022-11-12,14.55
2022-11-13,13.17
2022-11-14,13.98
2022-11-15,14.29
2022-11-16,14.27
2022-11-17,13.64
2022-11-18,13.25
2022-11-19,12.82
2022-11-20,12.26
2022-11-21,11.83
2022-11-22,12.43
2022-11-23,14.34
2022-11-24,14.59
2022-11-25,14.01
2022-11-26,14.17
2022-11-27,14.1
2022-11-28,13.33
2022-11-29,13.34
2022-11-30,14.15
2022-12-01,13.52
2022-12-02,13.72
2022-12-03,13.3
2022-12-04,13.71
2022-12-05,13.82
2022-12-06,14.29
2022-12-07,13.5
2022-12-08,13.69
2022-12-09,13.58
2022-12-10,13.57
2022-12-11,13.43
2022-12-12,13.32
2022-12-13,13.89
2022-12-14,14.12
2022-12-15,14.04
2022-12-16,12.24
2022-12-17,12.51
2022-12-18,12.37
2022-12-19,11.94
2022-12-20,12.26
2022-12-21,12.14
2022-12-22,11.81
2022-12-23,11.78
2022-12-24,11.45
2022-12-25,11.39
2022-12-26,11.33
2022-12-27,11.09
2022-12-28,9.759
2022-12-29,9.641
2022-12-30,9.909
2022-12-31,9.952
2023-01-01,9.99
2023-01-02,11.28
2023-01-03,13.39
2023-01-04,13.44
2023-01-05,13.43
2023-01-06,13.5
2023-01-07,13.1
2023-01-08,14.45
2023-01-09,16.26
2023-01-10,16.21
2023-01-11,16.37
2023-01-12,16.6
